Name,Comment,Time,Likes,Reply Count
@timothydevries383,"If the answer was as simple as putting 1000 laptop batteries in a vehicles floor pan companies like Toyota would have been all in on BEVs years ago. There reality is its just not a better solution, including overall CO2, especially compared to Hybrids.",2024-03-09T03:44:42Z,0,1
@ihsanizwer,The battery production is not a one time thing. You&#39;d need more batteries per car,2024-03-02T02:31:38Z,0,0
@ajazahmad582,Electrical cars 🚗 are sustainable😅,2024-03-01T11:18:23Z,0,0
@deany1980,"This talks as though petrol is magic and magically turns up without effort at petrol stations. Petrol additionally using the likes of Cobolt. The power grid, sure, countries are cleaning up the power grid",2024-02-16T06:47:32Z,1,0
@NeilNileStudios,"<a href=""https://www.youtube.com/watch?v=Chp9VlSs25c&amp;t=225"">3:45</a> that’s what I’ve been saying",2024-02-15T12:24:36Z,0,0
@flobbie87,"&quot;Water lost&quot;, &quot;carbon created&quot;, what are you talking about? Water isn&#39;t lost. Carbon isn&#39;t created.",2024-02-09T12:06:53Z,1,0
@badabing8884,That’s what I am doing - reducing my unnecessary car journeys and walking/cycling or getting public transport. <br><br>I just don’t see how the UK replaces 35m ICE vehicles with just EVs. Especially with the lack of infrastructure and Grid not being able to cope. <br><br>Either cut down - too many cars on roads or replace with Hybrids is the other solution. Think about when you use the car or share/borrow get taxis (they need to be green.),2024-02-08T10:20:27Z,0,1
@craighutchinson6856,1 ton of lithium mined = 5 to 15 tons of carbon<br>How much carbon am i produ ting as i smoke my cigarette while watching this video,2024-02-05T17:06:26Z,0,0
@randomracki9453,In short EV’s are not as green as you would think over its lifespan,2024-02-03T07:19:20Z,0,0
@iavathar2120,What about using those lifetime battery&#39;s that use a radioactive isotope?,2024-02-01T19:34:17Z,0,0
@alvarooryan3084,Take a f.... walk y&#39;all!,2024-02-01T17:20:59Z,0,0
@robertthatcher-ef2im,"The claim that Electric Vehicles are environmentally friendly is a huge lie or a major misconception  because the environmental impact equation is computed only after the battery is charged when one adds required battery charging process to the environmental impact equation one finds electric vehicles pollute much more than gas or diesel powered vehicles. <br>Most power on the USA electric grid is fossil fuels (coal, diesel  or gas) about 70%, nuclear provides about 20% and so called &quot;Green&quot; energy (wind, solar  and hydro) about 10% <br>     Fossil fuel plants and nuclear plants  are about 30% to 35% efficient. <br>     Line losses from the power plant to the end user are somewhere between 7 to 10%.<br>     Battery charger efficiency is between 80% to 70%<br>     Battery efficiency is about 70% for a new battery and about 50% for an old one. Note battery efficiency is significantly affected by temperature (as battery cools it becomes less efficient. )<br>     Efficiency of EV is about 70% but add required lights, all it&#39;s electric gadgets, compartment heating, Window defrosting and air conditioning it&#39;s efficiency drops to about 60%<br>The complete environmental impact equation:<br>                                                 Best case.     Worst case<br>Fossil fuel &amp; nuclear plants  35%              30%<br>Line losses                                    -7%            -10%<br>     Equals.                                     28%             20%<br>Battery charger.                     X80%          X70%<br>      Equals.                                    22.4%         14%<br>Battery efficiency.                  X70%          X50%<br>      Equals.                                    15.7%            7%<br>EV efficiency.                            X70%          X60%<br>     Grand total.                               9.8%           4 .2%<br>What all this means is when charging from the electric grid to get just 1 useful watt at the EV, best case over 9 watts are used at the power plant and worst case 23 watts are used. This is far from being environmentally friendly.",2024-01-31T14:34:46Z,0,0
@utubeftw100,Recent studies indicate that electric cars are not more reliable than their fossil fuel burning counterparts.,2024-01-30T20:03:20Z,0,0
@pioternietz496,"Less traffic jams in cities !<br>Während der Herrschaft von Ladislaus (Władysław) II. Jagiełło Ende des 14. Jahrhunderts wurde Krakau ( Poland ) Mitglied der Hanse,",2024-01-30T17:41:06Z,0,0
@petes9878,To change &#39;the collective mind&#39; is much more difficult than to change technologies. It simply cannot  be done. Evolution marches on.,2024-01-24T14:50:55Z,0,0
@amrgardner,It’s clear that the starting point is reducing car use.,2024-01-20T07:20:08Z,0,0
@maszkalman3676,You stil lie about the ev-s but it&#39;s the guardian we talk about...,2024-01-19T17:50:34Z,0,0
@piotrniec9638,Electric vehicles: Can &#39;lightweighting&#39; combat range anxiety?,2024-01-15T19:04:12Z,0,1
@emsik185,use public transport to get out from town to a nature spots.<br>Get the government to deliver better buses trains and maybe in town it will work but between towns nothing better than a car. <br>Globalists agendas to control us is just disgusting,2024-01-10T15:51:08Z,0,0
@bazzer621,Electric vehicles are about as green as coal fired generating plants!,2024-01-10T09:24:21Z,0,0
@pioternietz496,"But with today&#39;s lithium-ion batteries, EVs can go so far.",2024-01-09T07:31:16Z,0,0
@nonenone5016,ha,2024-01-08T11:10:34Z,0,0
@maguires,One thing that is not mentioned is the plan by governments to charge EV drivers a road user fee to pay for roading infrastructure. Currently this is poorly funded by fuel taxes. EV drivers are still getting a free ride.,2023-12-30T14:28:06Z,0,0
@albertfernandez2837,I think buying used cars and taking public transport when practical is the best option until governments provide clean electricity. <br><br>It&#39;s much more sustainable to buy a one year old hybrid and use it for 10 years than ordering and building a new electric car every three years because there&#39;s a better model.,2023-12-29T21:03:45Z,0,1
@trs4u,"When I saw &quot;air fuel synthesis&quot; 11 years ago I thought to myself &quot;yay, that&#39;s climate change and sustainable energy sorted forever&quot;, because generating renewable energy is largely a solved problem, but storing it in vast quantities for hard-to-electrify applications wasn&#39;t. Just converting the renewable energy into the form we conveniently use it in was obviously *the answer*. And then it disappeared!<br><br>Electric and human-powered transport are the obvious solutions for transport&#39;s urban air pollution issue, but beyond that a mix is needed that also supplants fossil-origin carbon for things like plastics manufacturing. Only hydrocarbon synthesis gives that, and it&#39;s being rejected by silly &#39;decarbonisation&#39; which is throwing out the baby with the bathwater. There&#39;s nothing inherently wrong with the carbon chemistry the world works on, only with the source of the carbon we&#39;ve been using.<br><br>No vehicle or other product is &#39;net zero&#39; until it&#39;s made from raw materials which are themselves net zero. The only way we can do that is to &#39;cut and shut&#39; our economy at the refinery output stage, so that all those hydrocarbons come instead from air-captured carbon and renewable energy. If we do that, all downstream industry and applications are net zero too. Tailpipes, gas CH, and plastic sporks too, all net zero.",2023-12-27T08:25:15Z,0,0
@darkspeed62,"We need to stop saying &quot;if only we use public transport more&quot;.<br>Public transport is a huge inconvenience for long journeys and is often cancelled or delayed, at least here in the UK, and it&#39;s particularly worse if you want to travel to somewhere rural.<br>It&#39;s merely a pipe dream to believe we will realistically become a society that chooses public transport over our cars to go somewhere. Anyone who can afford a car is 8/9 times out of 10 going to use it to get themselves around vs public transport.",2023-12-24T23:53:27Z,17,1
@egaskrad,"you use train, which use electricity, which use the public power grid, which has the same &quot;green&quot; issue as using an EV by possibly relying on fossil power plants... China use hydrogen fuel buses, which use electric to generate liquid hydrogen, which use the public power grid, which has the same &quot;green&quot; issue as using an EV...",2023-12-24T15:19:27Z,1,0
@tersy9862,How much of that carbon from mining and transportation is emitted from diesel? <br>Cars are just a cost effective way to build the technology and scale of manufacturing to electrify everything. <br>It&#39;s simple science. Electricity is much more efficient than burning things! <br>This is coming from massive petrol head. I would rather own a manual V8 than a EV any day,2023-12-18T10:15:54Z,0,0
@bobl168,"EV is not perfect, but is certainly better than petrol. It is a start using EV, until it get better through investment because of mass acceptance. Think about how far petrol car has advance since mass acceptance. Look at mobile phone advancement. EV will improve on efficiency and technological improvement to be more green.",2023-12-15T11:49:51Z,0,0
@Lolzeroo7,"The batteries are worse for our environment than the gas cars. Have all that harmful materials scattered about the surface, making future humans surrounded by cancer causing materials. Very bad idea!",2023-12-12T16:07:50Z,0,0
@D_gas_bob,"Question,  if we quit using gasoline power, where will the material come from to produce tires and asphalt.  We still end this stuff with electric cars, don&#39;t we?",2023-12-08T13:08:21Z,0,0
@MrBugman3009,"in other words, you peasants use public transportation. Driving is for the ruling class only. Public transportation increases your risk of catching a virus, and of being a victim of crime. Unless they provide better security on public transportation, criminals will victimize people.",2023-12-04T14:27:36Z,0,0
@ETERNITY777,EV CARS EXPLODE ..... ....,2023-12-03T22:44:10Z,1,0
@yossarianmnichols9641,"Typical gas vehicle is only 25%, 75% is wasted. Natural Gas combined cycle power plants are 50-60% efficient. So if you use a MWh a year in a car, you get 250 kwh of locomotion. You use a MWh combined cycle generator you get 550kwh, double the efficiency of the gas vehicle. There are small transmission losses to the EV charging station and the charging and discharging has small losses also so perhaps 80%  more efficient. The Guardian should hire an electrical engineer to proof this story.",2023-11-29T00:11:58Z,0,0
@brokejohnnylive1530,What about the carbon footprint of endless middle east wars?? Get real man.,2023-11-26T21:04:39Z,0,0
@document6,"This is the most uninformed pile of nonsense, I mean really … even when charged using fossil energy EVs are so much more efficient than gas/ICE cars with that energy, not just 24% as you stated as a worst case scenario … but when charged using green energy the difference is staggering…<br><br>Talk about throwing the baby out with the bath water this is a total hatchet piece",2023-11-16T03:26:51Z,0,0
@blasphemertheseventh,No doubt this video was sponsored by the oil companies.,2023-11-11T22:55:43Z,0,0
@tdf123emcee2,"How are we going to dispose of all the batteries once they are unsuable? Whatever you saved in carbon emissions you will get it back when the lifecycle of the EV ends. Because disposing of the batteries will also be polluting the environment. All those chemicals have to outgas somewhere. When a gasoline car stops working there is no more pollution. So essentially we are transferring the pollution produce through the life cycle of a car, to the end of its life. But not really solving the problem. EVs buy us time, but needs more work.",2023-11-10T15:30:50Z,0,1
@MT-ys6ju,No one talks about cruise-liners.  If they are really serious about reducing emissions they would bad cruise-liners entirely.  They have no use other than for entertainment and they are one of the biggest polluters in the world.,2023-11-04T05:07:09Z,4,0
@Hyperion1722,"Even for power grids relying on fossil fuels, countries could adapt EV vehicles for long hauls as break-even pt (carbon footprint) can be done in say two years of 45,000 kms per year (125kms per day).",2023-11-02T22:53:49Z,1,0
@aakashonline007,"Despite the fact that electric vehicles (EVs) produce less pollution than internal combustion engine (ICE) vehicles, the majority of EV pollution comes before the car hits the road, while pollution produced by ICE vehicles is spread throughout their lifetime. In a sense, it seems better for the environment to use ICE vehicles than their EV counterparts. For instance, if one needs to cut a thousand trees for their wood, cutting one tree per day for three years seems better for the environment than cutting 1000 trees in a single day so that one does not have to cut the trees again.",2023-11-02T19:32:45Z,1,0
@luly2323,Tesla started the big EV lie!,2023-10-27T20:06:38Z,0,0
@luly2323,Most electricity is generated by fossil fuels …..hence EVs have nothing to do with clean.,2023-10-27T20:05:45Z,0,1
@revenadawson3910,I had an electric car when I was a young adolescent. It was called a power wheel. The battery was always going dead. lesson learned.,2023-10-26T07:37:04Z,4,0
@incodewetrust8862,1) there&#39;s no carbon in oil refining <br>2) there&#39;s no geopolitical conflict over oil,2023-10-25T17:20:34Z,0,0
@dgurevich1,"Truth is i don&#39;t care. All i care about is that EVs arent taxed as much as gas cars, so they cost about the same to buy, road tax on EVs is 3 times cheaper, and electricity is on average 4 times cheaper compared to gas with reasonable fuel economy. Considering i dont drive very far, it&#39;s a great alternative purely on budget consideration.",2023-10-20T12:40:22Z,1,0
@murilohasse5694,ethanol is the solution,2023-10-19T15:08:26Z,0,0
@Doctrtony,"Solution to the problem, why don&#39;t you just walk bruh",2023-10-14T11:27:48Z,0,0
@motherslove686,Please include the environmental damage caused by a burning ev,2023-10-11T01:07:04Z,0,1
@harryspence2701,You offer no proof of your statements. Some reports and some studies by unknow authors is not useful or correct information.,2023-10-09T00:17:38Z,0,0
@shanewilson8728,I hear nothing but complete bulshit about how electric car are not harmful to the planet . Some environment activists will say you can go 800 miles on a electric car before you have to recharge it again.  How mining lithium and Cobalt to make to make electric cars isn&#39;t that bad or harmful to the environment. They also say  how easy it is to recycle electric car batteries. Environmentalist activists will lie make up any excuses to defend electric clunker.,2023-09-29T21:59:51Z,0,0
@VinDiesel-pd4tm,"flywheel-belt batteries are cheaper, there are cars with a flywheel battery by David Rabenhorst",2023-09-26T18:06:43Z,0,0
@paulg451,There is no climate emergency,2023-09-25T00:17:11Z,1,0
